116	James Cameron	120338	103064	111503
126	Kevin Costner	99348
154	Mel Gibson	335345
165	Ron Howard	170016	112384	268978	117438	382625
184	George Lucas	76759	120915	121766	121765
229	Steven Spielberg	83866	107290	73195	82971	407304	119567	120815	97576	87469	264464
231	Oliver Stone	91763
247	John Woo	120755
318	Tim Burton	96895	367594	133152	103776
338	Francis Ford Coppola	68646
361	Brian De Palma	117060
386	Roland Emmerich	116629	319262	120685
484	John Landis	77975
559	Leonard Nimoy	94137
583	Wolfgang Petersen	177971	118571
600	Sam Raimi	145487	316654
631	Ridley Scott	172495	212985
709	Robert Zemeckis	109830	162222	88763	338348	161081	96438
881	Michael Bay	120591	213149	172156	418279
957	Jan de Bont	117998
976	Martin Brest	086960
985	James L. Brooks	119822
1060	Chris Columbus	241527	99785	295297	107614	104431
1081	Cameron Crowe	116695
1102	Joe Dante	87363
1104	Frank Darabont	120689
1112	Andrew Davis	106977
1149	Richard Donner	97733	104714	78346
1243	William Friedkin	70047
1351	George Roy Hill	70735
1392	Peter Jackson	167260	167261	120737	360717
1460	Mimi Leder	120647
1469	Barry Levinson	95953
1490	Adrian Lyne	93010
1565	Mike Newell	330373
1628	Sydney Pollack	84805	106918
1639	Alex Proyas	343818
1661	Rob Reiner	104257
1708	Joel Schumacher	112462
1716	Tony Scott	92099	92644
1723	Tom Shadyac	315327	119528	129290
1741	Bryan Singer	290334	120903	348150
1752	Steven Soderbergh	240772
1756	Barry Sonnenfeld	119654	120912
1814	Gus Van Sant	119217
1915	Emile Ardolino	105417
2132	Amy Heckerling	97778
2653	Joe Johnston	163025
3418	Rob Cohen	232500	295701
4056	Andrew Stanton	266543
4306	George Miller	366548
5124	John Lasseter	114709	120623	317219
5190	Garry Marshall	100405	163187
5366	Jay Roach	290002	295178	145660	212338
5509	Jon Turteltaub	368891
5540	Keenen Ivory Wayans	175142
6625	Steve Barron	100758
11470	Andrew Adamson	298148	363771	126029
21249	Roger Allers	110357
31976	Judd Apatow	478311
65608	Walt Becker	486946
74426	Bibo Bergeron	307453
83348	Brad Bird	317705	382932
105169	Ash Brannon	120363
118333	Chris Buck	120855
132709	Martin Campbell	381061
166256	Ron Clements	103639
178997	Frank Coraci	120484	389860
181902	George P. Cosmatos	89880
190859	Alfonso Cuaron	304141
201509	Eric Darnell	351283
213450	Dean DeBlois	275847
227540	Mark Dindal	371606
229694	David Dobkin	396269
230032	Peter Docter	198781
240797	Dennis Dugan	142342
265363	Peter Faiman	90555
268370	Bobby Farrelly	129387
269463	Jon Favreau	319343
281808	Victor Fleming	31381
300265	Mike Gabriel	114148
314671	Clyde Geronimi	55254
331532	Raja Gosnell	267913
339030	Paul Greengrass	372183	440963
378893	Stephen Herek	115433
426333	Tim Johnson	327084
449984	Irvin Kershner	80684
459170	Randal Kleiser	77631
500343	Eric Leighton	130623
501185	Michael Lembeck	304669
506613	Shawn Levy	349205	477347
510731	Doug Liman	356910
549658	Richard Marquand	86190
551128	Rob Marshall	299658
570912	Adam McKay	415306
583600	Nancy Meyers	207201
588087	Chris Miller	413267
591450	Rob Minkoff	164912
609236	Jonathan Mostow	181852
610831	Gabriele Muccino	454921
617130	Daniel Myrick	185937
634240	Christopher Nolan	372784
664756	John Pasquin	111070
711840	Brett Ratner	266915	120812	376994
718627	Wolfgang Reitherman	61852
718645	Ivan Reitman	87332
721817	Kevin Reynolds	102798
736930	James B. Rogers	252866
757858	Carlos Saldanha	268380	438097
781842	Peter Segal	398165
788940	Jim Sharman	73629
796117	M. Night Shyamalan	167404	286106
798899	David Silverman	462538
811583	Zack Snyder	416449
814085	Stephen Sommers	209163	120616
848414	Lee Tamahori	246460
855035	Andy Tennant	386588
858525	Betty Thomas	118998
873779	Gary Trousdale	101414
893659	Gore Verbinski	325980	383574	449088
905152	Andy Wachowski	234215	133093	242653
936404	Robert Wise	59742
946734	David Yates	373889
958387	Jerry Zucker	99653
959034	Joel Zwick	259446
1103162	Tim Story	120667
