0 I 6826 <6825, 5> <6827, 5>
10  L 4325 10 <4326, 5>
11  L 4326 11 <4325, 5> <4327, 1>
12  L 4327 12 <4326, 1> <4328, 3>
14  L 4328 14 <4327, 3> <4329, 1>
16  L 4329 16 <4328, 1> <4330, 2>
17  L 4330 17 <4329, 2> <4331, 1>
18  L 4331 18 <4330, 1> <4332, 3>
19  L 4332 19 <4331, 3> <4333, 3>
21  L 4333 21 <4332, 3> <4334, 3>
23  L 4334 23 <4333, 3> <4335, 4>
25  L 4335 25 <4334, 4> <4336, 5>
27  L 4336 27 <4335, 5> <4337, 1>
29  L 4337 29 <4336, 1> <4338, 2>
30  L 4338 30 <4337, 2> <4339, 6>
31  L 4339 31 <4338, 6> <4340, 3>
33  L 4340 33 <4339, 3> <4341, 5>
35  L 4341 35 <4340, 5> <4342, 5>
37  L 4342 37 <4341, 5> <4343, 4>
39  L 4343 39 <4342, 4> <4344, 4>
40  L 4344 40 <4343, 4> <4345, 2>
41  L 4345 41 <4344, 2> <4346, 5>
42  L 4346 42 <4345, 5> <4347, 3>
44  L 4347 44 <4346, 3> <4348, 1>
45  L 4348 45 <4347, 1> <4349, 6>
47  L 4349 47 <4348, 6> <4350, 3>
49  L 4350 49 <4349, 3> <4351, 5>
51  L 4351 51 <4350, 5> <4352, 1>
52  L 4352 52 <4351, 1> <4353, 5>
53  L 4353 53 <4352, 5> <4354, 4>
54  L 4354 54 <4353, 4> <4355, 6>
55  L 4355 55 <4354, 6> <4356, 1>
56  L 4356 56 <4355, 1> <4357, 5>
58  L 4357 58 <4356, 5> <4358, 1>
60  L 4358 60 <4357, 1> <4359, 2>
61  L 4359 61 <4358, 2> <4360, 2>
62  L 4360 62 <4359, 2> <4361, 3>
64  L 4361 64 <4360, 3> <4362, 3>
65  L 4362 65 <4361, 3> <4363, 3>
66  L 4363 66 <4362, 3> <4364, 1>
67  L 4364 67 <4363, 1> <4365, 4>
68  L 4365 68 <4364, 4> <4366, 3>
70  L 4366 70 <4365, 3> <4367, 2>
71  L 4367 71 <4366, 2> <4368, 2>
72  L 4368 72 <4367, 2> <4369, 2>
74  L 4369 74 <4368, 2> <4370, 1>
76  L 4370 76 <4369, 1> <4371, 3>
78  L 4371 78 <4370, 3> <4372, 5>
80  L 4372 80 <4371, 5> <4373, 2>
82  L 4373 82 <4372, 2> <4374, 6>
84  L 4374 84 <4373, 6> <4375, 3>
86  L 4375 86 <4374, 3> <4376, 5>
87  L 4376 87 <4375, 5> <4377, 2>
88  L 4377 88 <4376, 2> <4378, 5>
90  L 4378 90 <4377, 5> <4379, 2>
91  L 4379 91 <4378, 2> <4380, 2>
93  L 4380 93 <4379, 2> <4381, 2>
95  L 4381 95 <4380, 2> <4382, 4>
96  L 4382 96 <4381, 4> <4383, 6>
97  L 4383 97 <4382, 6> <4384, 3>
99  L 4384 99 <4383, 3> <4385, 5>
101  L 4385 101 <4384, 5> <4386, 6>
102  L 4386 102 <4385, 6> <4387, 3>
103  L 4387 103 <4386, 3> <4388, 3>
104  L 4388 104 <4387, 3> <4389, 6>
106  L 4389 106 <4388, 6> <4390, 4>
107  L 4390 107 <4389, 4> <4391, 3>
109  L 4391 109 <4390, 3> <4392, 1>
110  L 4392 110 <4391, 1> <4393, 1>
111  L 4393 111 <4392, 1> <4394, 6>
113  L 4394 113 <4393, 6> <4395, 6>
114  L 4395 114 <4394, 6> <4396, 5>
116  L 4396 116 <4395, 5> <4397, 3>
117  L 4397 117 <4396, 3> <4398, 3>
118  L 4398 118 <4397, 3> <4399, 4>
119  L 4399 119 <4398, 4> <4400, 1>
121  L 4400 121 <4399, 1> <4401, 4>
122  L 4401 122 <4400, 4> <4402, 4>
123  L 4402 123 <4401, 4> <4403, 6>
125  L 4403 125 <4402, 6> <4404, 5>
127  L 4404 127 <4403, 5> <4405, 4>
129  L 4405 129 <4404, 4> <4406, 2>
